measure,value
records,2225
clusters_label_x_root_cause,362
clusters_with_at_least_two_records,252
clusters_spanning_multiple_clients,211
records_in_multi_client_clusters,1993
spec_anchored_clusters,157
client_local_clusters,86
unclassified_clusters,9
records_naming_an_explicit_spec_anchor,337
records_naming_an_anchor_pct,15.1
distinct_explicit_anchors,148
explicit_anchors_in_two_or_more_clients,86
fix_dates_resolved,1959
non_fork_anchors_with_dates_in_two_or_more_clients,73
multi_client_anchors_span_90_days_or_less,4
multi_client_anchors_span_over_2_years,62
median_span_days_across_anchors,1723
most_times_first_by_any_single_client,25
clients_with_at_least_20_anchor_positions,5
of_those_first_more_often_than_volume_predicts,0
ratio_range_among_clients_with_20plus_positions,0.66-1.30
largest_volume_client_first_to_position_ratio,0.66
distinct_clients_appearing_first,9
