anchor,records,clients,first_client,first_date,last_client,last_date,span_days,client_order
eip:4844,4,4,lighthouse,2022-12-07,reth,2025-09-30,1027,lighthouse;geth;erigon;reth
eip:1559,3,3,geth,2021-05-11,reth,2025-09-30,1602,geth;erigon;reth
eip:7732,3,3,lodestar,2026-04-01,nimbus,2026-05-26,54,lodestar;teku;nimbus
opcode:create2,2,2,geth,2018-08-03,besu,2026-05-21,2848,geth;besu
consensus_fn:get_total_active_balance,2,2,lodestar,2020-07-10,lighthouse,2026-04-07,2097,lodestar;lighthouse
consensus_fn:process_rewards_and_penalties,2,2,nimbus,2019-09-03,lighthouse,2025-03-26,2030,nimbus;lighthouse
consensus_fn:process_epoch,2,2,nimbus,2020-05-13,lighthouse,2025-03-26,1777,nimbus;lighthouse
consensus_fn:process_attestation,2,2,lighthouse,2021-09-06,nimbus,2026-06-04,1732,lighthouse;nimbus
opcode:shr,2,2,besu,2021-11-11,erigon,2026-05-11,1641,besu;erigon
consensus_fn:process_inactivity_updates,2,2,nimbus,2022-02-22,lighthouse,2025-03-26,1127,nimbus;lighthouse
eip:8,2,2,nethermind,2019-11-21,besu,2022-11-01,1076,nethermind;besu
consensus_fn:process_registry_updates,2,2,lighthouse,2025-03-26,grandine,2026-04-06,376,lighthouse;grandine
consensus_fn:get_beacon_proposer_index,2,2,nimbus,2019-12-04,lighthouse,2020-07-07,215,nimbus;lighthouse
opcode:delegatecall,2,2,nethermind,2025-12-05,besu,2026-05-21,166,nethermind;besu
eip:7521,2,2,prysm,2024-10-31,lighthouse,2025-03-26,145,prysm;lighthouse
eip:7928,3,2,erigon,2026-03-06,besu,2026-04-23,48,erigon;erigon;besu
eip:8037,2,2,erigon,2026-03-09,besu,2026-03-26,17,erigon;besu
consensus_fn:get_head,2,2,lighthouse,2026-06-01,nimbus,2026-06-03,2,lighthouse;nimbus
