source_url,silent_fix_prob,is_security_fix,vuln_class,reason
https://github.com/besu-eth/besu/pull/1327,0.000,0,none,The change only updates CI configuration and build scripts to capture JVM crash logs during acceptance tests.
https://github.com/besu-eth/besu/pull/860,0.000,0,none,The change is purely adding a log statement for diagnostic purposes during CLI startup.
https://github.com/besu-eth/besu/pull/713,0.000,0,none,"This is a feature addition introducing a Plugin API for security modules, allowing the client to use different cryptographic providers for the node key."
https://github.com/erigontech/erigon/pull/10776,0.000,0,none,"The change is strictly a third-party dependency version bump, which is explicitly excluded from security fixes."
https://github.com/erigontech/erigon/pull/4721,0.000,0,none,"This is a dependency bump for external monitoring tools in a docker-compose file, not a fix for a defect in the client code."
https://github.com/erigontech/erigon/pull/13482,1.000,1,dos,Introduces a loop iteration limit to prevent a remote denial-of-service attack and fixes unsafe state access during parallel message processing.
https://github.com/erigontech/erigon/pull/20632,0.900,1,dos,"Replaces a panic with an error return, preventing a crash when processing small or malformed history files."
https://github.com/erigontech/erigon/pull/18927,0.900,1,dos,"Replaces panics with error returns in the state transition logic, preventing a malicious transaction from crashing the node via gas overflow/underflow."
https://github.com/erigontech/erigon/pull/17565,0.900,1,dos,"Replaces multiple panic() calls with error returns in the block processing path (OnBlock), preventing a remote attacker from crashing the node via malformed block data."
https://github.com/erigontech/erigon/pull/17053,0.200,0,none,"The change introduces a panic for diagnostic purposes when an invariant is violated, rather than removing an exploitable defect or fixing a consensus bug."
https://github.com/erigontech/erigon/pull/17052,0.200,0,none,"The change adds an explicit panic for diagnostic purposes when an index is empty, rather than fixing an exploitable vulnerability or a consensus bug."
https://github.com/erigontech/erigon/pull/16879,0.100,0,none,The change consists entirely of updating third-party dependency versions in go.mod and go.sum files; the client's own source code is not modified.
https://github.com/erigontech/erigon/pull/16591,0.800,1,dos,"The change adds a panic to handle an unexpected empty existence filter, which represents a crash/DoS vulnerability when the index is in an invalid state."
https://github.com/erigontech/erigon/pull/15834,0.900,1,dos,Prevents a node crash (DoS) by recovering from panics triggered during the processing of untrusted network gossip messages.
https://github.com/erigontech/erigon/pull/14313,0.900,1,dos,"Replaces a panic with an error return, preventing a potential Denial of Service if a malformed seeding file is processed."
https://github.com/erigontech/erigon/pull/13355,0.000,0,none,"The changes are located exclusively within the 'cmd/integration' directory, which contains integration tools/commands and not the core blockchain client or consensus logic."
https://github.com/erigontech/erigon/pull/13548,0.900,1,dos,Fixes an out-of-bounds panic when unmarshaling a JSON input consisting of a single double-quote character.
